step,timestamp,reward,balance,realized_pnl,unrealized_pnl,position,action,trade_pnl
210,2024-09-26 03:20:00,-1.0478485328833624,99645.97912889507,-354.020871104925,-9.964597912889507,1,1,-26.196213322084063
211,2024-09-26 03:25:00,-1.2978468303236572,99613.53295813697,-386.46704186301645,-9.961353295813698,-1,0,-32.44617075809143
212,2024-09-26 03:30:00,-0.6896199105958195,99596.29246037207,-403.70753962791196,-9.959629246037208,1,1,-17.240497764895487
213,2024-09-26 03:35:00,-1.225775219770748,99565.6480798778,-434.3519201221807,-9.95656480798778,-1,0,-30.644380494268702
214,2024-09-26 03:40:00,-0.510521940048392,99552.8850313766,-447.1149686233905,-9.95528850313766,1,1,-12.763048501209799
215,2024-09-26 03:45:00,-1.5112478961848212,99515.10383397198,-484.896166028011,-9.9515103833972,-1,0,-37.781197404620535
216,2024-09-26 03:50:00,-0.7246383517922941,99496.98787517718,-503.01212482281835,-9.949698787517718,1,1,-18.11595879480735
217,2024-09-26 03:55:00,0.1225922377767641,99496.98787517718,-503.01212482281835,6.129611888838205,1,1,0.0
218,2024-09-26 04:00:00,-0.22432424983605245,99491.37976893128,-508.62023106871965,-9.949137976893129,-1,0,-5.608106245901311
219,2024-09-26 04:05:00,-0.40292052881500545,99481.3067557109,-518.6932442890948,-9.948130675571091,1,1,-10.073013220375136
220,2024-09-26 04:10:00,-0.7958504540456873,99461.41049435976,-538.5895056402369,-9.946141049435976,-1,0,-19.896261351142183
221,2024-09-26 04:15:00,-1.402948167721203,99426.33679016674,-573.6632098332669,-9.942633679016675,1,1,-35.073704193030075
222,2024-09-26 04:20:00,-0.8668023098152374,99404.66673242136,-595.3332675786479,-9.940466673242137,-1,0,-21.670057745380937
